CA-2016-152156,42682,42685,Second Class,CG-12520,FUR-BO-10001798,2,0
CA-2016-152156,42682,42685,Second Class,CG-12520,FUR-CH-10000454,3,0
CA-2016-138688,42533,42537,Second Class,DV-13045,OFF-LA-10000240,2,0
US-2015-108966,42288,42295,Standard Class,SO-20335,FUR-TA-10000577,5,0.45
US-2015-108966,42288,42295,Standard Class,SO-20335,OFF-ST-10000760,2,0.2
CA-2014-115812,41799,41804,Standard Class,BH-11710,FUR-FU-10001487,7,0
CA-2014-115812,41799,41804,Standard Class,BH-11710,OFF-AR-10002833,4,0
CA-2014-115812,41799,41804,Standard Class,BH-11710,TEC-PH-10002275,6,0.2
CA-2014-115812,41799,41804,Standard Class,BH-11710,OFF-BI-10003910,3,0.2
CA-2014-115812,41799,41804,Standard Class,BH-11710,OFF-AP-10002892,5,0
CA-2014-115812,41799,41804,Standard Class,BH-11710,FUR-TA-10001539,9,0.2
CA-2014-115812,41799,41804,Standard Class,BH-11710,TEC-PH-10002033,4,0.2
CA-2017-114412,42840,42845,Standard Class,AA-10480,OFF-PA-10002365,3,0.2
CA-2016-161389,42709,42714,Standard Class,IM-15070,OFF-BI-10003656,3,0.2
US-2015-118983,42330,42334,Standard Class,HP-14815,OFF-AP-10002311,5,0.8
US-2015-118983,42330,42334,Standard Class,HP-14815,OFF-BI-10000756,3,0.8
CA-2014-105893,41954,41961,Standard Class,PK-19075,OFF-ST-10004186,6,0
CA-2014-167164,41772,41774,Second Class,AG-10270,OFF-ST-10000107,2,0
CA-2014-143336,41878,41883,Second Class,ZD-21925,OFF-AR-10003056,2,0
CA-2014-143336,41878,41883,Second Class,ZD-21925,TEC-PH-10001949,3,0.2
CA-2014-143336,41878,41883,Second Class,ZD-21925,OFF-BI-10002215,4,0.2
CA-2016-137330,42713,42717,Standard Class,KB-16585,OFF-AR-10000246,7,0
CA-2016-137330,42713,42717,Standard Class,KB-16585,OFF-AP-10001492,7,0
US-2017-156909,42932,42934,Second Class,SF-20065,FUR-CH-10002774,2,0.3
CA-2015-106320,42272,42277,Standard Class,EB-13870,FUR-TA-10000577,3,0
CA-2016-121755,42385,42389,Second Class,EH-13945,OFF-BI-10001634,2,0.2
CA-2016-121755,42385,42389,Second Class,EH-13945,TEC-AC-10003027,3,0
US-2015-150630,42264,42268,Standard Class,TB-21520,FUR-BO-10004834,7,0.5
US-2015-150630,42264,42268,Standard Class,TB-21520,OFF-BI-10000474,2,0.7
US-2015-150630,42264,42268,Standard Class,TB-21520,FUR-FU-10004848,3,0.2
US-2015-150630,42264,42268,Standard Class,TB-21520,OFF-EN-10001509,2,0.2
US-2015-150630,42264,42268,Standard Class,TB-21520,OFF-AR-10004042,6,0.2
US-2015-150630,42264,42268,Standard Class,TB-21520,OFF-BI-10001525,6,0.7
US-2015-150630,42264,42268,Standard Class,TB-21520,OFF-AR-10001683,2,0.2
